,0.58819,0.61806,Monk,
,0.63542,0.66389,Monk,
11/28/15,0.84722,0.87639,Monk,
,0.90903,0.9375,Monk,
11/29/15,-0.02986,0.00069,Monk,
,0.00208,0.03264,Monk,
,0.68611,0.71458,Monk,
,0.76458,0.77986,The Office,
,0.80139,0.81667,The Office,
,0.83056,0.84722,The Office,
,0.84722,0.86042,The Office,
,0.8625,0.87778,The Office,
,0.87778,0.89306,The Office,
,0.89792,0.91319,The Office,
,0.91667,0.93194,The Office,
,0.93194,0.94722,The Office,
,0.94722,0.9625,The Office,
,0.98056,0.99583,The Office,
11/30/15,0.95833,0.98889,Monk,
12/1/15,0.70069,0.73056,Monk,
,0.73333,0.76319,Monk,
,0.76458,0.79514,Monk,
,0.79444,0.82431,Monk,
,0.8625,0.87778,The Office,
,0.89722,0.9125,The Office,
,0.92778,0.94306,The Office,
,0.94306,0.95833,The Office,
,0.95833,0.97361,The Office,
12/2/15,0.65278,0.66806,The Office,
,0.66806,0.68333,The Office,
,0.68333,0.69861,The Office,
,0.69931,0.71458,The Office,
,0.71389,0.72917,The Office,
,0.73403,0.74931,The Office,
,0.79028,0.80556,The Office,
,0.81181,0.82708,The Office,
,0.83333,0.84861,The Office,
,0.84792,0.86319,The Office,
,0.86319,0.87847,The Office,
,0.87847,0.89375,The Office,
12/3/15,0.68889,0.70417,The Office,
,0.70417,0.71944,The Office,
,0.71875,0.73403,The Office,
,0.73403,0.74931,The Office,
12/4/15,,,-,
12/5/15,0.67292,0.70278,Monk,
,0.87708,0.96181,Twilight,
12/6/15,0.68889,0.71944,Monk,
,0.72292,0.75278,Monk,
,0.77708,0.80764,Monk,
,0.80694,0.83681,Monk,
,0.84931,0.87917,Monk,
12/7/15,0.72639,0.74167,The Office,
,0.76042,0.77569,The Office,
,0.77639,0.79167,The Office,
,0.79236,0.80764,The Office,
,0.80694,0.82222,The Office,
,0.90347,0.91875,The Office,
,0.91736,0.94653,Monk,
12/8/15,0.81389,0.82917,The Office,
,0.82986,0.84514,The Office,
,0.84653,0.86181,The Office,
,0.86319,0.87847,The Office,
12/9/15,0.88264,0.9125,Monk,
12/10/15,0.69583,0.71111,The Office,
,0.86875,0.89861,Monk,
12/11/15,0.77292,0.85972,Trainwreck,
,0.87083,0.94167,Big Hero 6,
12/12/15,,,-,
,0.59236,0.62222,Parenthood,
12/13/15,0.91806,0.94792,Monk,
12/14/15,,,-,
12/15/15,0.825,0.85486,Parenthood,
,0.93056,0.96042,Monk,
12/16/15,0.64167,0.67083,Monk,
,0.68125,0.71111,Monk,
,0.71667,0.74653,Monk,
,0.79097,0.82083,Monk,
,0.82292,0.85278,Monk,
12/17/15,0.73125,0.74653,The Office,
,0.76806,0.79722,The Office,
,0.79722,0.8125,The Office,
,0.8125,0.82778,The Office,
,0.82778,0.84306,The Office,
,0.84236,0.85764,The Office,
,0.8625,0.89028,The Office,
12/18/15,,,-,
12/19/15,0.59375,0.6875,Star Wars: Episode VII - The Force Awakens,
,0.86458,0.89444,The Office,
,0.89444,0.92917,The Office,
12/20/15,0.39444,0.42361,The Mentalist,
,0.43333,0.46319,The Mentalist,
,0.46944,0.49931,The Mentalist,
,0.5,0.52917,The Mentalist,
,0.60764,0.63819,The Mentalist,
,0.65764,0.68611,The Mentalist,
,0.94028,0.97083,The Mentalist,
12/21/15,-0.02292,0.00764,The Mentalist,
,0.57708,0.60764,The Mentalist,
,0.62569,0.65556,The Mentalist,
,0.75278,0.76806,Friends,
,0.8625,0.89167,Parenthood,
12/22/15,0.41528,0.44444,The Mentalist,
,0.45556,0.48542,The Mentalist,
,0.49792,0.52639,The Mentalist,
,0.52708,0.55625,The Mentalist,
,0.56389,0.59444,The Mentalist,
,0.71667,0.74722,The Mentalist,
,0.82361,0.85347,The Mentalist,
,0.8625,0.89236,The Mentalist,
,0.94861,0.97917,The Mentalist,
12/23/15,-0.01875,0.01111,The Mentalist,
,0.01181,0.04167,The Mentalist,
,0.04306,0.07222,The Mentalist,
,0.6625,0.69167,The Mentalist,
,0.69861,0.72847,The Mentalist,
,0.74444,0.775,The Mentalist,
12/24/15,0.04722,0.07569,The Mentalist,
,0.49236,0.52292,The Mentalist,
,0.525,0.55278,The Mentalist,
,0.55417,0.58472,The Mentalist,
,0.64792,0.67778,The Mentalist,
,0.67986,0.71042,The Mentalist,
12/25/15,0.59653,0.69722,Independence Day,
,0.75069,0.8125,Zoolander,
12/26/15,0.55833,0.58611,The Mentalist,
,0.66806,0.69722,The Mentalist,
12/27/15,0.02708,0.05625,The Mentalist,
,0.66458,0.67917,Forensic Files,
,0.85903,0.87361,Forensic Files,
,0.88056,0.89514,Forensic Files,
12/28/15,0.58472,0.61389,The Mentalist,
,0.64653,0.67639,The Mentalist,
,0.70833,0.73681,The Mentalist,
,0.76806,0.79722,The Mentalist,
,0.80486,0.83542,The Mentalist,
,0.84444,0.87431,The Mentalist,
,0.89236,0.92083,The Mentalist,
12/29/15,0.00903,0.0375,The Mentalist,
,0.55347,0.64722,Star Wars: Episode VII - The Force Awakens,
,0.68819,0.71806,The Mentalist,
,0.72917,0.75833,The Mentalist,
,0.81736,0.84583,The Mentalist,
,0.92778,0.94375,The Office,
,0.95347,0.96875,The Office,
,0.975,0.99028,The Office,
12/30/15,-0.00903,0.00625,The Office,
,0.00625,0.02153,The Office,
,0.53889,0.55417,The Office,
,0.58681,0.60139,The Office,
,0.61528,0.63056,The Office,
,0.63194,0.64653,The Office,
,0.64653,0.66111,The Office,
,0.66181,0.67708,The Office,
,0.68403,0.69931,The Office,
,0.70069,0.71528,The Office,
,0.71736,0.73194,The Office,
,0.73194,0.74722,The Office,
,0.74722,0.7625,The Office,
,0.76458,0.77917,The Office,
,0.77986,0.79444,The Office,
,0.79444,0.80903,The Office,
,0.80972,0.82431,The Office,
,0.825,0.83958,The Office,
,0.83958,0.85417,The Office,
,0.88403,0.89861,The Office,
,0.89931,0.91389,The Office,
,0.92222,0.93681,The Office,
,0.93681,0.95139,The Office,
,0.95208,0.96667,The Office,
,0.96667,0.98611,The Office,
12/31/15,-0.01389,0.00139,The Office,
,0.02986,0.04514,The Office,
1/1/16,0.61736,0.63194,The Office,
,0.63403,0.64861,The Office,
,0.65,0.66458,The Office,
,0.66528,0.67986,The Office,
,0.7,0.72083,The Office,
,0.72014,0.74097,The Office,
,0.74236,0.75694,The Office,
,0.75972,0.78889,The Office,
,0.78958,0.80417,The Office,
,0.80417,0.81944,The Office,
,0.82083,0.84028,The Office,
,0.84444,0.85903,The Office,
,0.86111,0.87569,The Office,
,0.87569,0.89097,The Office,
,0.89167,0.90625,The Office,
,0.90556,0.92639,The Office,
,0.94861,0.96319,The Office,
,0.96458,0.97917,The Office,
1/2/16,0.475,0.50417,The Mentalist,
